"asn","name","description","country_code","traffic_estimation","traffic_ratio","rir_country_code","rir_date_allocated"
"29614","GHANATEL-AS","GHANA TELECOM ISP NETWORK","GH","100-200Gbps","Not Disclosed","GH",2007-09-20
"786","JANET","Jisc Services Limited","GB","500-1000Gbps","Mostly Inbound","GB",1993-09-01
"37963","ALIBABA-CN-NET","Hangzhou Alibaba Advertising Co.,Ltd.","CN","1-5Tbps","Mostly Outbound","",NA
"18403","FPT-AS-AP","FPT Telecom Company","VN","1-5Tbps","Mostly Inbound","VN",2003-01-03
"133199","SONDERCLOUDLIMITED-AS-AP","SonderCloud Limited","HK","20-50Gbps","Mostly Outbound","HK",2013-12-23
"213371","SQUITTER-NETWORKS","ABC Consultancy","IN","","Not Disclosed","IN",2020-04-14
"4134","CHINANET-BACKBONE","No.31,Jin-rong Street","CN","1-5Tbps","Balanced","CN",2002-08-01
"328230","Hammer-and-Tongues-AS","Hammer and Tongues Africa Holdings (Private) Limited","ZW","","","ZW",2017-09-29
"15706","Sudatel","Sudatel Telecom Group","SD","100-200Gbps","Mostly Outbound","SD",2007-09-19
"4800","LINTASARTA-AS-AP","PT Aplikanusa Lintasarta","ID","20-50Gbps","Mostly Inbound","ID",1996-12-25
"45899","VNPT-AS-VN","VNPT Corp","VN","1-5Tbps","Mostly Inbound","",NA
"136782","KIRIN-AS-AP","Kirin Communication Ltd","HK","50-100Gbps","Balanced","HK",2017-06-28
"24186","RAILTEL-AS-IN","RailTel Corporation of India Ltd","IN","1-5Tbps","Mostly Outbound","IN",2005-10-28
"8048","CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","VE","500-1000Gbps","Not Disclosed","VE",1997-03-20
"24086","VIETTEL-AS-VN","Viettel Corporation","VN","","","",NA
"13768","COGECO-PEER1","Aptum Technologies","CA","","Balanced","CA",2002-06-10
"16276","OVH","OVH SAS","FR","10-20Tbps","Heavy Outbound","FR",2001-02-15
"9299","IPG-AS-AP","Philippine Long Distance Telephone Company","PH","","","PH",1998-04-16
"137697","CHINATELECOM-JiangSu-YangZhou-IDC","CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou , Jiangsu Province, P.R.China.","CN","","","",NA
"53667","PONYNET","FranTech Solutions","US","50-100Gbps","Balanced","US",2010-11-19
"7552","VIETEL-AS-AP","Viettel Group","VN","1-5Tbps","Mostly Inbound","VN",2002-10-08
"133481","AIS-Fibre-AS-AP","AIS Fibre","TH","1-5Tbps","Mostly Inbound","TH",2014-05-12
"35916","MULTA-ASN1","MULTACOM CORPORATION","US","20-50Gbps","Mostly Outbound","US",2005-04-08
"28573","CLARO S.A.","CLARO S.A.","BR","1-5Tbps","Heavy Inbound","BR",2003-11-27
"58073","YISP-AS","YISP B.V.","NL","","","NL",2012-04-13
"210138","RIPE NCC ASN block","RIPE NCC ASN block","","","","",NA
"14061","DIGITALOCEAN-ASN","DigitalOcean, LLC","US","1-5Tbps","Mostly Outbound","US",2012-09-25
"9498","BBIL-AP","BHARTI Airtel Ltd.","IN","","","IN",1999-03-09
"16814","NSS S.A.","NSS S.A.","AR","100-200Gbps","Balanced","AR",2000-06-13
"50596","ITNET33","Informatsionnye Tekhnologii LLC","RU","","","RU",2010-02-16
"131090","CAT-IDC-4bytenet-AS-AP","CAT TELECOM Public Company Ltd,CAT","TH","50-100Gbps","Mostly Inbound","",NA
"132707","APNIC ASN block","APNIC ASN block","AU","","","",NA
"133776","CHINATELECOM-Fujian-Quanzhou-IDC1","Quanzhou","CN","","","",NA
"12302","Vodafone_Ro","Charles de Gaulle nr.15","RO","50-100Gbps","Mostly Inbound","RO",1999-02-25
"21859","ZEN-ECN","Zenlayer Inc","US","10-20Tbps","Heavy Outbound","US",2013-04-02
"41390","RN-Data-LV","RN Data SIA","LV","","","LV",2006-08-08
"9830","SWIFTONLINE-AS-AP","SWIFT ONLINE BORDER AS","IN","20-50Gbps","Balanced","IN",2000-01-20
"8402","CORBINA-AS","OJSC ""Vimpelcom""","RU","500-1000Gbps","Balanced","RU",1997-07-30
"9341","ICONPLN-ID-AP-ISP","PT INDONESIA COMNETS PLUS","ID","500-1000Gbps","Balanced","ID",2002-09-11
"45090","TENCENT-NET-AP","Shenzhen Tencent Computer Systems Company Limited","CN","1-5Tbps","Balanced","",NA
"18881","TELEFiÂ¿Â½NICA BRASIL S.A","TELEFiÂ¿Â½NICA BRASIL S.A","BR","","","BR",2000-10-23
"4837","CHINA169-Backbone","CHINA UNICOM China169 Backbone","CN","10-20Tbps","Balanced","CN",2001-09-17
"6400","CompaAÂ±AÂ­a Dominicana de TelAÂ©fonos S. A.","CompaAÂ±AÂ­a Dominicana de TelAÂ©fonos S. A.","DO","","Not Disclosed","DO",1996-03-29
"28283","Adylnet Telecom","Adylnet Telecom","BR","500-1000Gbps","Balanced","BR",2007-04-25
"40676","AS40676","Psychz Networks","US","1-5Tbps","Balanced","US",2008-02-26
"200845","EsWikiker","AVATEL TELECOM","ES","","Not Disclosed","ES",2015-03-30
"39232","UNINET","Uninet LLC","AZ","","Not Disclosed","AZ",2006-01-13
"3462","HINET","Data Communication Business Group","TW","1-5Tbps","Balanced","TW",2002-08-01
"24088","HTCHCMC-AS-VN","Hanoi Telecom Joint Stock Company - HCMC Branch","VN","100-200Gbps","Heavy Inbound","",NA
"134761","CHINANET-NINGXIA-ZHONGWEI-IDC","CHINANET NINGXIA province ZHONGWEI IDC network","CN","","","",NA
"7713","telkomnet-as-ap","PT Telekomunikasi Indonesia","ID","10-20Tbps","Heavy Inbound","ID",1998-01-06
"132566","SKYNET-AS-IN","Skynet Broadband Plus Solution","IN","5-10Gbps","Mostly Inbound","",NA
"12978","DSMART","ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.","TR","","","TR",2000-02-03
"23750","GERRYS-AS-AP","GERRYS INFORMATION TECHNOLOGY PVT LTD.","PK","","Not Disclosed","PK",2003-05-21
"133774","CHINATELECOM-FUJIAN-FUZHOU-IDC1","Fuzhou","CN","","","CN",2014-10-28
"32748","STEADFAST","Steadfast","US","20-50Gbps","Balanced","US",2004-07-16
"28661","HOTLINK INTERNET LTDA","HOTLINK INTERNET LTDA","BR","5-10Gbps","Mostly Inbound","BR",2006-08-31
"8053","IFX Networks Venezuela C.A.","IFX Networks Venezuela C.A.","VE","10-20Gbps","Mostly Inbound","VE",1997-03-25
"28580","CILNET Comunicacao e Informatica LTDA.","CILNET Comunicacao e Informatica LTDA.","BR","50-100Gbps","Mostly Inbound","BR",2005-01-17
"3216","SOVAM-AS","PJSC ""Vimpelcom""","RU","5-10Tbps","Balanced","RU",1994-04-15
"23969","TOT-NET","TOT Public Company Limited","TH","1-5Tbps","Mostly Inbound","TH",2008-10-22
"45102","ALIBABA-CN-NET","Alibaba (US) Technology Co., Ltd.","US","","Mostly Outbound","",NA
"135905","VNPT-AS-VN","VIETNAM POSTS AND TELECOMMUNICATIONS GROUP","VN","","Not Disclosed","",NA
"58563","CHINATELECOM-Hubei-IDC","CHINANET Hubei province network","CN","","","CN",2012-03-23
"6503","Axtel, S.A.B. de C.V.","Axtel, S.A.B. de C.V.","MX","","Not Disclosed","MX",1996-05-09
"266121","SUPER SONIC TELECOM LTDA","SUPER SONIC TELECOM LTDA","BR","10-20Gbps","Heavy Inbound","BR",2017-03-28
"2905","TICSA-ASN","Verizon South Africa","ZA","","","ZA",1993-09-10
"45536","READYLINK-AS-AP","Readylink Internet Services Limited","IN","100-1000Mbps","Mostly Inbound","IN",2008-11-26
"9829","BSNL-NIB","National Internet Backbone","IN","","Not Disclosed","IN",2000-01-19
"56971","CloudBackbone","CGI GLOBAL LIMITED","HK","","Not Disclosed","HK",2019-10-01
"16125","CHERRYSERVERS1-AS","UAB Cherry Servers","LT","20-50Gbps","Mostly Outbound","LT",2011-03-29
"49505","SELECTEL","OOO ""Network of data-centers ""Selectel""","RU","50-100Gbps","Mostly Outbound","RU",2009-06-18
"16509","AMAZON-02","Amazon.com, Inc.","US","","Balanced","US",2000-05-04
"10139","SMARTBRO-PH-AP","Smart Broadband, Inc.","PH","","","PH",2006-11-21
"44604","KVANT-TELECOM-AS","JSC KVANT-TELEKOM","RU","","","RU",2008-02-12
"47331","TTNET","TTNet A.S.","TR","","","TR",2008-06-03
"8452","TE-AS","TE-AS","EG","1-5Tbps","Mostly Inbound","EG",1997-09-01
"16322","PARSONLINE","Tehran - IRAN","IR","","","IR",2001-02-27
"28753","LEASEWEB-DE-FRA-10","Leaseweb Deutschland GmbH","DE","","Heavy Outbound","DE",2003-02-17
"55714","APNIC-FIBERLINK-PK","Fiberlink Pvt.Ltd","PK","","Mostly Inbound","PK",2010-08-12
"24863","LINKdotNET-AS","LINKdotNET AS number","EG","","Not Disclosed","EG",2007-09-20
"134764","CT-FoShan-IDC","CHINANET Guangdong province network","CN","","","",NA
"40065","CNSERVERS","CNSERVERS LLC","US","5-10Tbps","Mostly Outbound","US",2011-04-11
"42971","INTERFONICA","INTERFONICA LLC","RU","","","RU",2018-01-18
"136704","ABNPL-AS-IN","Apex Broadband Network Pvt. Ltd.","IN","100-1000Mbps","Mostly Inbound","",NA
"35725","COSMOROM","TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A.","RO","","","RO",2005-10-12
"49776","GORSET-AS","Gorset LLC","RU","","","RU",2009-09-09
"42864","GigaNet-HU","GigaNet Internet Service Provider Co","HU","5-10Gbps","Mostly Inbound","HU",2007-04-26
"205656","URAN-Odessa","User Association of Ukrainian Research and Academic Network URAN","UA","","","UA",2017-06-29
"4816","CHINANET-IDC-GD","China Telecom (Group)","CN","","","",NA
"36923","SWIFTNG-ASN","Swift Networks Limited","NG","10-20Gbps","Mostly Inbound","NG",2006-11-15
"12389","ROSTELECOM-AS","PJSC Rostelecom","RU","10-20Tbps","Mostly Inbound","RU",2005-07-01
"38511","TACHYON-AS-ID","PT Remala Abadi","ID","100-200Gbps","Balanced","",NA
"38365","Baidu","Beijing Baidu Netcom Science and Technology Co., Ltd.","CN","","Not Disclosed","",NA
"55960","BJ-GUANGHUAN-AP","Beijing Guanghuan Xinwang Digital","CN","","","",NA
"132825","MYTEK-AS-AP","MYTEK TRADING PTY LTD","AU","500-1000Gbps","Balanced","AU",2013-05-10
"4808","CHINA169-BJ","China Unicom Beijing Province Network","CN","","Not Disclosed","CN",1996-01-09
"8151","UNINET","UNINET","MX","","Not Disclosed","MX",1997-04-29
